gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphite 1:1.3.15-1
graphviz 15.1.0-1
greetd 0.10.3-2
greetd-agreety 0.10.3-2
grep 3.12-2
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gssdp 1.6.6-1
gst-plugins-bad-libs 1.28.5-4
gst-plugins-base 1.28.5-4
gst-plugins-base-libs 1.28.5-4
gstreamer 1.28.5-4
gtest 1.17.0-2
gtk-doc 1.36.1-1
gtk-engine-murrine 0.98.2-5
gtk-engine-murrine-debug 0.98.2-5
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk2 2.24.33-5
gtk2-debug 2.24.33-5
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-2
gts 0.7.6.121130-5
guile 3.0.11-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-igd 1.6.0-2
gzip 1.14-2
harfbuzz 14.3.0-1
harfbuzz-icu 14.3.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hip-runtime-amd 7.2.4-1
hipblas 7.2.4-1
hipblas-common 7.2.4-1
hipblaslt 7.2.4-1
hipcub 7.2.4-1
hipfft 7.2.4-1
hiprand 7.2.4-1
hipsolver 7.2.4-1
hipsparse 7.2.4-1
hsa-rocr 7.2.4-1
htop 3.5.2-1
hunspell 1.7.3-1
hwdata 0.410-1
hwloc 2.14.0-1
hyphen 2.8.9-1
i2c-tools 4.4-4
iana-etc 20260530-1
icu 78.3-1
iio-sensor-proxy 3.9-1
ijs 0.35-7
imath 3.2.2-6
inotify-tools 4.25.9.0-1
inter-font 4.1-1
intltool 0.51.0-6
iproute2 7.1.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jack2 1.9.22-2
jansson 2.15.0-1
jasper 4.2.9-1
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jellyfin-ffmpeg 1:7.1.4p1-2
jellyfin-server 10.11.11-1
jellyfin-web 10.11.11-1
jemalloc 1:5.3.1-3
jq 1.8.2-1
jre21-openjdk-headless 21.0.12.u8-1
js140 140.13.0-1
json-c 0.19-1
json-glib 1.10.8-1
jsoncpp 1.9.6-3
kaccounts-integration 26.04.3-1
kactivitymanagerd 6.7.3-1
karchive 6.28.0-1
kauth 6.28.0-1
kbd 2.10.0-1
kbookmarks 6.28.0-1
kcmutils 6.28.0-1
kcodecs 6.28.0-1
kcolorscheme 6.28.0-1
kcompletion 6.28.0-1
kconfig 6.28.0-1
kconfigwidgets 6.28.0-1
kcoreaddons 6.28.0-1
kcrash 6.28.0-1
kdbusaddons 6.28.0-1
kde-cli-tools 6.7.3-1
kde-gtk-config 6.7.3-1
kdeclarative 6.28.0-1
kdecoration 6.7.3-1
kded 6.28.0-1
kdeplasma-addons 6.7.3-1
kdesu 6.28.0-1
kdialog 26.04.3-1
kdnssd 6.28.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keyutils 1.6.3-4
kfilemetadata 6.28.0-1
kgamma 6.7.3-1
kglobalaccel 6.28.0-1
kglobalacceld 6.7.3-1
kguiaddons 6.28.0-1
kholidays 1:6.28.0-1
ki18n 6.28.0-1
kiconthemes 6.28.0-1
kidletime 6.28.0-1
kimageformats 6.28.1-1
kinfocenter 6.7.3-1
kio 6.28.0-1
kio-extras 26.04.3-1
kio-fuse 5.1.1-2
kirigami 6.28.0-1
kirigami-addons 1.13.1-1
kitemmodels 6.28.0-1
kitemviews 6.28.0-1
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kjobwidgets 6.28.0-1
kmenuedit 6.7.3-1
kmod 34.2-1
knewstuff 6.28.0-1
knighttime 6.7.3-1
knotifications 6.28.0-1
knotifyconfig 6.28.0-1
konsole 26.04.3-1
kpackage 6.28.0-1
kparts 6.28.0-1
kpipewire 6.7.3-1
kpty 6.28.0-1
kquickcharts 6.28.0-1
kquickimageeditor 0.6.2.1-2
